Starting server...
Setting up game classes...
Echo game set up
Model game started
Game classes set up
Server socket started.
Server socket started.
User 0 is switching to game 1
game 1
Model started
new Spin started 0 6 1
updateWarmup 0:10.0;1;0
RUN STARTED 
Spin started
updateWarmup 0:2.199998378753662;2;1,3
updateWarmup 0:2.0999984741210938;2;1,3
updateWarmup 0:2.0999984741210938;2;1,3
updateWarmup 0:1.9999984502792358;2;1,3
updateWarmup 0:1.9999984502792358;2;1,3
updateWarmup 0:1.899998426437378;2;1,3
updateWarmup 0:1.899998426437378;2;1,3
updateWarmup 0:1.79999840259552;2;1,3
updateWarmup 0:1.79999840259552;2;1,3
updateWarmup 0:1.699998378753662;2;1,3
updateWarmup 0:1.699998378753662;2;1,3
updateWarmup 0:1.5999983549118042;2;1,3
updateWarmup 0:1.5999983549118042;2;1,3
updateWarmup 0:1.4999983310699463;2;1,3
updateWarmup 0:1.4999983310699463;2;1,3
updateWarmup 0:1.3999983072280884;2;1,3
updateWarmup 0:1.3999983072280884;2;1,3
updateWarmup 0:1.2999982833862305;2;1,3
updateWarmup 0:1.2999982833862305;2;1,3
updateWarmup 0:1.1999982595443726;2;1,3
updateWarmup 0:1.1999982595443726;2;1,3
updateWarmup 0:1.0999982357025146;2;1,3
updateWarmup 0:1.0999982357025146;2;1,3
updateWarmup 0:0.9999982118606567;2;1,3
updateWarmup 0:0.9999982118606567;2;1,3
updateWarmup 0:0.8999981880187988;2;1,3
updateWarmup 0:0.8999981880187988;2;1,3
updateWarmup 0:0.7999981641769409;2;1,3
updateWarmup 0:0.7999981641769409;2;1,3
updateWarmup 0:0.699998140335083;2;1,3
updateWarmup 0:0.699998140335083;2;1,3
updateWarmup 0:0.5999981164932251;2;1,3
updateWarmup 0:0.5999981164932251;2;1,3
updateWarmup 0:0.4999981224536896;2;1,3
updateWarmup 0:0.4999981224536896;2;1,3
updateWarmup 0:0.39999812841415405;2;1,3
updateWarmup 0:0.39999812841415405;2;1,3
updateWarmup 0:0.29999813437461853;2;1,3
updateWarmup 0:0.29999813437461853;2;1,3
updateWarmup 0:0.199998140335083;2;1,3
updateWarmup 0:0.199998140335083;2;1,3
updateWarmup 0:0.09999813884496689;2;1,3
updateWarmup 0:0.09999813884496689;2;1,3
updateWarmup 0:0.0;2;1,3
updateWarmup 0:0.0;2;1,3
Stopping servers!
